Gene	SGD	UniProt	CC527	CC518	CC516	CC522	CC526	CC525	CC523	CC517	CC530	CC519	CC524	CC528	CC520	CC515	CC529	CC531	CC521
SGT2	S000005533	SGT2_YEAST	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NGR1	S000000416	NGR1_YEAST	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
RIM101	S000001019	PACC_YEAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAT2	S000003909	BCA2_YEAST	0	3	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0
SMT3	S000002918	SMT3_YEAST	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FAA1	S000005844	LCF1_YEAST	0	4	4	0	0	0	0	0	1	0	0	0	0	8	0	0	0
RPL22B	S000006436	RL22B_YEAST	0	2	6	1	0	0	0	0	1	0	0	2	0	12	1	0	1
TIM10	S000003530	TIM10_YEAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH5	S000000349	ADH5_YEAST	0	7	54	0	0	0	0	2	2	0	0	0	0	20	0	2	0
ARL1	S000000368	ARL1_YEAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADE13	S000004351	PUR8_YEAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GUA1	S000004830	GUAA_YEAST	0	2	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0
PET9	S000000126	ADT2_YEAST	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	7	0
YDL124W	S000002282	KAR_YEAST	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AKL1	S000000263	AKL1_YEAST	0	0	2	0	2	0	0	0	24	0	0	5	0	7	3	8	0
RPA34	S000003684	RPA34_YEAST	0	0	2	0	0	0	0	0	3	0	0	3	1	0	0	9	1
SBA1	S000001600	SBA1_YEAST	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0
GAR1	S000001131	GAR1_YEAST	0	0	60	17	9	9	4	0	49	13	1	16	58	63	12	56	11
PEP4	S000006075	CARP_YEAST	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
HMO1	S000002581	HMO1_YEAST	0	0	26	0	0	0	0	0	1	1	0	1	1	24	1	3	2
SET2	S000003704	SET2_YEAST	0	0	16	0	0	0	0	0	0	0	0	0	0	19	0	0	0
OSW1	S000005781	OSW1_YEAST	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGC1	S000006319	RGC1_YEAST	0	0	5	1	0	0	0	0	4	0	0	0	0	23	0	1	2
MAK5	S000000346	MAK5_YEAST	0	0	1	0	0	0	0	0	9	2	0	3	3	2	5	8	5
YLR179C	S000004169	YL179_YEAST	0	0	4	0	0	0	0	3	2	0	0	0	0	2	0	0	0
DBP9	S000004266	DBP9_YEAST	0	0	6	1	0	0	0	0	4	2	0	4	5	22	1	3	3
DBP3	S000003046	DBP3_YEAST	0	0	177	2	1	0	0	0	14	2	0	14	5	427	3	23	8
ANB1	S000003808	IF5A2_YEAST	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GFA1	S000001587	GFA1_YEAST	0	0	1	0	0	0	0	0	12	0	0	0	0	0	0	6	0
PRP43	S000003088	PRP43_YEAST	0	0	45	22	5	1	2	0	44	25	2	38	40	53	25	49	25
URB1	S000001497	URB1_YEAST	0	0	1	24	29	18	13	0	97	16	14	46	28	2	30	94	28
CBF5	S000004165	CBF5_YEAST	0	0	114	76	47	30	20	0	137	37	16	134	217	94	80	181	45
BRX1	S000005437	BRX1_YEAST	0	0	3	4	5	2	4	0	7	6	0	8	6	22	6	7	4
SUB1	S000004642	SUB1_YEAST	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WRS1	S000005457	SYWC_YEAST	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASK10	S000003329	ASK10_YEAST	0	0	7	0	0	0	0	0	1	1	0	0	1	31	0	0	4
MAS2	S000001066	MPPA_YEAST	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DBP10	S000002189	DBP10_YEAST	0	0	6	0	0	0	0	0	0	0	0	0	0	17	0	3	0
GLY1	S000000772	GLY1_YEAST	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	2	0
RPA12	S000003824	RPA12_YEAST	0	0	1	1	0	0	0	0	2	0	0	2	1	0	2	6	0
PPZ1	S000004478	PPZ1_YEAST	0	0	8	0	0	0	0	0	0	0	0	0	0	28	0	0	0
NOP53	S000006067	NOP53_YEAST	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ERB1	S000004652	ERB1_YEAST	0	0	1	15	4	0	4	0	36	17	10	35	21	0	31	48	16
BMS1	S000006138	BMS1_YEAST	0	0	22	2	0	0	0	0	18	2	2	12	9	47	10	19	6
ROK1	S000003139	ROK1_YEAST	0	0	3	1	4	0	0	0	5	4	0	4	4	8	1	11	2
CKA2	S000005587	CSK22_YEAST	0	0	2	1	0	0	0	0	8	0	0	0	2	4	0	6	1
SEC21	S000005231	COPG_YEAST	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	8	0
NUG1	S000000808	NUG1_YEAST	0	0	9	2	0	0	0	0	2	2	0	0	1	58	0	5	0
SRP21	S000001605	SRP21_YEAST	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
RRP5	S000004842	RRP5_YEAST	0	0	5	50	27	3	9	0	168	45	25	105	76	16	78	170	68
NOP10	S000007455	NOP10_YEAST	0	0	8	6	6	4	2	0	4	7	2	4	8	4	2	17	5
OSH3	S000001115	OSH3_YEAST	0	0	3	1	0	0	0	0	1	0	0	0	1	24	0	0	1
MAK21	S000002467	MAK21_YEAST	0	0	4	10	3	0	4	0	35	12	9	45	20	25	26	35	13
PXR1	S000003512	PXR1_YEAST	0	0	6	3	2	0	4	0	3	2	1	7	8	8	5	11	4
CDS1	S000000233	CDS1_YEAST	0	0	13	0	0	0	0	1	0	0	0	0	0	14	0	0	0
VMA4	S000005859	VATE_YEAST	0	0	2	0	0	0	0	4	5	0	0	0	0	1	0	0	0
CIC1	S000001094	CIC1_YEAST	0	0	1	5	2	0	0	0	15	1	2	13	7	1	14	15	6
HHO1	S000006048	H1_YEAST	0	0	34	1	0	0	2	0	0	0	0	0	0	109	0	0	0
YKL023W	S000001506	YKC3_YEAST	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUN12	S000000033	IF2P_YEAST	0	0	22	1	3	5	3	0	9	1	2	4	1	19	2	14	2
NOC2	S000005732	NOC2_YEAST	0	0	11	5	0	0	0	0	37	5	1	14	13	29	11	32	8
GRE2	S000005511	GRE2_YEAST	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YRA1	S000002789	YRA1_YEAST	0	0	5	2	0	0	2	0	8	1	4	4	0	20	2	10	1
YDR341C	S000002749	SYRC_YEAST	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RSC30	S000001098	RSC30_YEAST;YHL4_YEAST	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NHP2	S000002367	NHP2_YEAST	0	0	56	9	8	8	0	0	7	7	0	0	5	46	0	12	8
SRP14	S000002250	SRP14_YEAST	0	0	21	0	0	0	0	0	0	0	0	0	0	29	0	0	0
MPD1	S000005814	MPD1_YEAST	0	0	3	0	0	0	0	0	0	0	0	0	0	17	0	0	0
SSF1	S000001108	SSF1_YEAST	0	0	73	4	0	0	2	0	4	2	0	3	2	122	0	1	2
SSF2	S000002720	SSF2_YEAST	0	0	73	2	0	0	0	0	1	0	0	3	0	120	0	1	1
OLA1	S000000229	OLA1_YEAST	0	0	1	0	0	0	0	5	2	0	0	0	0	0	0	3	0
BAT1	S000001251	BCA1_YEAST	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0
GRX2	S000002921	GLRX2_YEAST	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0
VMA13	S000006240	VATH_YEAST	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ESF1	S000002773	ESF1_YEAST	0	0	5	2	0	0	2	0	12	4	3	9	6	14	5	15	1
JIP5	S000006373	JIP5_YEAST	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	2
RPF2	S000001789	RPF2_YEAST	0	0	0	3	0	0	0	0	2	3	0	1	3	0	0	8	0
PUF3	S000003936	PUF3_YEAST	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	3	2
NOP9	S000003547	NOP9_YEAST	0	0	0	9	1	0	0	0	12	6	0	11	11	0	10	18	11
NOP8	S000005504	NOP8_YEAST	0	0	0	13	17	14	13	0	25	14	10	30	21	0	29	50	17
NOP2	S000005005	NOP2_YEAST	0	0	0	1	0	0	0	0	5	2	0	3	3	0	5	7	4
NOP4	S000005964	NOP4_YEAST	0	0	0	11	4	0	0	0	22	6	6	18	11	0	13	19	11
KRR1	S000000564	KRR1_YEAST	0	0	0	4	1	0	0	0	10	4	1	16	13	0	11	17	5
PPN1	S000002860	PPN1_YEAST	0	0	0	2	0	0	0	0	0	1	0	0	5	0	0	0	3
UTP22	S000003322	UTP22_YEAST	0	0	0	6	4	3	2	0	34	5	3	25	15	3	12	30	9
UTP23	S000005530	UTP23_YEAST	0	0	0	2	0	0	0	0	2	1	0	3	2	3	1	5	3
UTP21	S000004401	UTP21_YEAST	0	0	0	3	1	0	0	0	6	5	1	16	7	0	10	14	5
RRP12	S000005933	RRP12_YEAST	0	0	0	8	4	0	0	0	29	3	0	24	11	0	14	25	15
CDC33	S000005499	IF4E_YEAST	0	0	0	1	2	4	0	0	11	0	0	1	2	0	0	7	2
BUD22	S000004616	BUD22_YEAST	0	0	0	2	2	0	0	0	5	3	0	6	5	0	1	6	2
BUD21	S000005604	BUD21_YEAST	0	0	0	4	5	2	4	0	10	3	4	5	4	0	6	12	5
HCR1	S000004182	EIF3J_YEAST	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1
sp|K1H8_HUMAN|	-	-	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0
NSR1	S000003391	NSR1_YEAST	0	0	0	29	23	20	11	0	51	17	11	41	28	2	37	54	27
POL5	S000000781	DPO5_YEAST	0	0	0	1	0	0	0	0	7	1	0	3	3	0	3	6	3
POL2	S000005206	DPOE_YEAST	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	3	1
YCR016W	S000000609	YCQ6_YEAST	0	0	0	4	1	0	0	0	11	3	1	12	5	0	7	8	5
PUF6	S000002904	PUF6_YEAST	0	0	0	5	0	0	0	0	16	5	0	10	6	0	9	20	6
DBP8	S000001212	DBP8_YEAST	0	0	0	1	0	0	0	0	2	0	0	0	3	0	0	1	1
DBP6	S000005321	DBP6_YEAST	0	0	0	6	5	5	3	0	36	6	3	19	12	0	16	36	9
LCP5	S000000929	LCP5_YEAST	0	0	0	1	0	0	0	0	5	1	0	2	0	0	2	3	3
SRP40	S000001800	SRP40_YEAST	0	0	0	9	11	2	6	0	19	9	7	16	15	0	10	13	7
YHR097C	S000001139	YHP7_YEAST	0	0	0	1	0	0	2	0	5	0	0	0	0	1	0	0	0
SAS10	S000002312	SAS10_YEAST	0	0	0	3	2	0	0	0	14	4	5	21	12	0	20	18	10
sp|K1HB_HUMAN|	-	-	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0
sp|K1H7_HUMAN|	-	-	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0
URB2	S000003802	URB2_YEAST	0	0	0	10	14	8	0	0	43	7	2	33	8	0	17	38	15
IMP3	S000001191	IMP3_YEAST	0	0	0	2	0	0	0	0	5	2	0	7	4	1	3	6	5
IMP4	S000005019	IMP4_YEAST	0	0	0	3	1	0	0	0	7	1	0	8	3	0	3	6	2
SCD6	S000006333	SCD6_YEAST	0	0	0	1	1	1	4	0	41	0	0	7	1	0	7	30	2
BEM2	S000000957	BEM2_YEAST	0	0	0	3	1	0	0	0	22	1	0	0	1	5	2	27	6
TIF3	S000006367	IF4B_YEAST	0	0	0	2	1	0	0	0	6	0	1	0	0	0	0	11	0
FCF2	S000004041	FCF2_YEAST	0	0	0	1	2	0	0	0	5	0	1	2	1	0	0	1	3
MRH1	S000002440	MRH1_YEAST	0	0	0	1	0	0	0	0	4	0	0	1	1	0	0	3	0
ENP1	S000000451	ENP1_YEAST	0	0	0	1	0	0	0	0	3	2	0	0	1	0	1	4	0
ENP2	S000003377	NOL10_YEAST	0	0	0	3	2	0	0	0	5	1	0	2	4	0	2	11	1
SOF1	S000003934	DCA13_YEAST	0	0	0	6	0	0	0	0	12	4	0	12	20	0	11	14	3
sp|K1H1_HUMAN|	-	-	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0
BET3	S000001776	BET3_YEAST	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
UTP11	S000001582	UTP11_YEAST	0	0	0	2	1	0	0	0	6	2	1	5	3	0	7	9	2
UTP13	S000004212	UTP13_YEAST	0	0	0	9	4	0	0	0	23	6	3	19	12	0	15	26	11
UTP10	S000003645	UTP10_YEAST	0	0	0	16	11	0	0	0	51	13	4	49	21	0	37	56	21
UTP15	S000004699	UTP15_YEAST	0	0	0	5	0	0	0	0	17	4	0	8	11	1	8	22	8
UTP14	S000004558	UTP14_YEAST	0	0	0	2	0	0	0	0	12	4	3	11	5	0	6	9	6
UTP18	S000003605	UTP18_YEAST	0	0	0	1	1	0	0	0	4	1	1	4	4	0	4	7	4
RRS1	S000005820	RRS1_YEAST	0	0	0	1	0	0	0	0	3	2	2	2	2	0	2	2	3
RCL1	S000005370	RCL1_YEAST	0	0	0	1	0	0	0	0	1	2	0	3	2	1	4	5	2
RPA135	S000006214	RPA2_YEAST	0	0	0	11	7	0	4	0	37	5	3	23	8	0	12	53	8
NOP6	S000002372	NOP6_YEAST	0	0	0	2	0	0	0	0	16	1	0	3	3	0	2	15	3
RPA14	S000002563	RPA14_YEAST	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0
RPC19	S000005057	RPAC2_YEAST	0	0	0	1	0	0	0	0	4	1	0	3	1	0	2	9	1
MSS116	S000002602	MS116_YEAST	0	0	0	4	0	0	0	0	4	0	0	0	1	0	0	5	3
sp|K1H2_HUMAN|	-	-	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0
RPC40	S000006314	RPAC1_YEAST	0	0	0	3	3	0	0	0	10	2	0	6	2	0	4	16	3
LSM6	S000002786	LSM6_YEAST	0	0	0	1	0	0	2	0	7	1	1	0	0	0	0	4	1
LSM2	S000000122	LSM2_YEAST	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	3	2
NAN1	S000006047	UTP17_YEAST	0	0	0	7	8	0	2	0	31	7	4	23	15	0	16	31	13
MRD1	S000006316	MRD1_YEAST	0	0	0	3	1	0	0	0	10	5	0	1	6	0	3	13	10
IST2	S000000290	IST2_YEAST	0	0	0	2	0	0	1	0	10	1	0	0	4	0	1	7	0
sp|K1H5_HUMAN|	-	-	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0
SOG2	S000005880	SOG2_YEAST	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YTM1	S000005798	YTM1_YEAST	0	0	0	3	1	0	0	0	17	6	0	9	6	0	12	16	2
IDH2	S000005662	IDH2_YEAST	0	0	0	1	0	0	0	1	21	0	0	1	0	0	0	23	0
URA7	S000000135	URA7_YEAST	0	0	0	2	4	0	2	0	28	6	12	0	3	0	0	56	2
RRP1	S000002494	RRP1_YEAST	0	0	0	1	0	0	0	0	7	1	0	4	1	0	2	5	1
RRP3	S000001107	RRP3_YEAST	0	0	0	1	0	2	0	0	3	0	0	0	2	0	0	4	1
RRP9	S000006341	RRP9_YEAST	0	0	0	3	5	0	2	0	11	5	3	10	6	0	5	8	5
NOG1	S000006014	NOG1_YEAST	0	0	0	3	3	3	4	0	8	4	2	2	3	1	1	15	2
NOP13	S000005119	NOP13_YEAST	0	0	0	7	2	0	0	0	26	4	5	13	5	0	9	15	8
NOP12	S000005401	NOP12_YEAST	0	0	0	4	4	0	0	0	32	3	5	10	9	0	11	24	9
NOP14	S000002307	NOP14_YEAST	0	0	0	1	2	0	0	0	12	3	1	5	4	0	3	12	4
NOP16	S000000804	NOP16_YEAST	0	0	0	2	0	0	0	0	2	1	2	2	4	0	3	1	2
GBP2	S000000517	GBP2_YEAST	0	0	0	2	1	0	3	0	11	6	1	3	2	0	0	10	4
PWP2	S000000653	PWP2_YEAST	0	0	0	3	0	0	0	0	17	6	0	14	9	0	15	27	6
KRE33	S000005076	KRE33_YEAST	0	0	0	10	1	0	2	0	21	4	2	27	16	0	16	27	11
YGR283C	S000003515	YG5X_YEAST	0	0	0	3	0	0	0	0	6	2	0	6	3	0	3	7	3
NMA1	S000004320	NMA1_YEAST	0	0	0	4	1	2	0	0	7	2	0	0	3	0	0	5	3
NMA2	S000003242	NMA2_YEAST	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	1
RSA3	S000004211	RSA3_YEAST	0	0	0	3	0	2	2	0	15	1	1	9	3	0	3	12	3
ARD1	S000001055	ARD1_YEAST	0	0	0	1	2	2	0	0	1	0	0	0	0	0	0	2	1
EBP2	S000001655	EBP2_YEAST	0	0	0	3	1	0	0	0	12	1	0	9	3	3	4	18	2
sp|K1M1_SHEEP|	-	-	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0
EFG1	S000007608	EFG1P_YEAST	0	0	0	3	0	0	0	0	13	3	4	11	6	0	9	7	3
VIP1	S000004402	VIP1_YEAST	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
LHP1	S000002209	LHP1_YEAST	0	0	0	1	0	0	0	0	4	0	0	7	2	0	4	3	3
sp|K1H6_HUMAN|	-	-	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0
NOC4	S000006348	NOC4_YEAST	0	0	0	1	1	0	0	0	4	1	0	4	1	0	1	2	0
RPS29A	S000004380	RS29A_YEAST	0	0	0	1	1	0	0	1	1	1	0	2	1	0	0	2	1
HCA4	S000003570	DBP4_YEAST	0	0	0	6	0	0	0	0	13	10	1	20	11	0	11	14	9
TIF4631	S000003394	IF4F1_YEAST	0	0	0	7	7	9	7	0	26	6	7	3	3	0	1	22	8
TIF4632	S000003017	IF4F2_YEAST	0	0	0	1	0	0	2	0	5	0	2	0	0	0	0	3	0
DRS1	S000003931	DRS1_YEAST	0	0	0	1	0	0	1	0	9	2	0	7	0	0	3	7	1
BRE1	S000002232	BRE1_YEAST	0	0	0	1	1	0	0	0	16	0	0	1	1	0	1	18	1
DIP2	S000004119	UTP12_YEAST	0	0	0	5	0	0	0	0	23	4	0	24	13	1	19	29	7
RPL42B	S000001183	RL44A_YEAST;RL44B_YEAST	0	0	0	1	0	0	1	0	1	0	0	2	0	1	0	1	1
RPL42A	S000005106	RL44A_YEAST;RL44B_YEAST	0	0	0	1	0	0	1	0	1	0	0	2	0	1	0	1	1
PSP2	S000004479	PSP2_YEAST	0	0	0	9	23	13	11	0	32	10	5	66	20	0	33	49	8
DHR2	S000001561	DHR2_YEAST	0	0	0	4	0	0	0	0	3	1	0	2	5	0	3	2	3
ECM14	S000001174	ECM14_YEAST	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	2
RPA43	S000005867	RPA43_YEAST	0	0	0	2	0	0	0	0	8	0	0	3	2	0	4	7	2
BFR2	S000002707	BFR2_YEAST	0	0	0	4	5	0	0	0	16	5	2	15	8	0	10	17	7
TGS1	S000006078	TGS1_YEAST	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0
STO1	S000004732	NCBP1_YEAST	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	8	2
MAK16	S000000023	MAK16_YEAST	0	0	0	2	0	0	0	0	3	0	2	7	0	0	4	2	2
UTP7	S000000884	UTP7_YEAST	0	0	0	4	4	0	1	0	5	5	5	12	9	0	13	10	7
UTP6	S000002857	UTP6_YEAST	0	0	0	3	1	0	0	0	16	6	1	17	10	0	13	24	4
UTP5	S000002806	UTP5_YEAST	0	0	0	1	4	0	0	0	5	1	0	9	3	0	7	7	2
UTP4	S000002732	UTP4_YEAST	0	0	0	8	6	0	1	0	15	5	5	16	11	0	11	23	8
UTP9	S000001239	UTP9_YEAST	0	0	0	3	0	0	0	0	23	1	0	16	8	0	9	35	7
UTP8	S000003360	UTP8_YEAST	0	0	0	5	3	0	0	0	14	7	4	22	9	0	12	15	9
RIX7	S000003957	RIX7_YEAST	0	0	0	9	12	6	3	0	153	4	0	23	1	0	23	127	9
CMS1	S000003993	CMS1_YEAST	0	0	0	2	0	0	0	0	2	2	0	5	1	0	0	8	2
TMA23	S000004882	TMA23_YEAST	0	0	0	2	2	0	1	0	4	2	1	2	5	0	5	3	3
ESF2	S000005337	ESF2_YEAST	0	0	0	2	0	0	0	0	5	1	0	3	5	0	0	5	3
RLP7	S000004947	RLP7_YEAST	0	0	0	4	1	0	0	0	12	2	0	8	5	0	5	16	1
GDE1	S000006031	GDE1_YEAST	0	0	0	1	1	0	0	0	1	7	0	2	3	0	0	4	3
EMG1	S000004176	NEP1_YEAST	0	0	0	1	0	0	0	0	3	0	0	7	1	0	4	6	2
DIG1	S000005970	DIG1_YEAST	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0
SUP45	S000000347	ERF1_YEAST	0	0	0	0	3	2	1	0	8	1	2	0	0	0	0	21	0
PMD1	S000000934	PMD1_YEAST	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	3	0
UTP20	S000000100	UTP20_YEAST	0	0	0	0	2	0	0	0	21	4	0	6	4	0	8	19	8
NHP6A	S000006256	NHP6A_YEAST	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	1	0
GLT1	S000002330	GLT1_YEAST	0	0	0	0	2	1	0	0	8	0	0	0	0	0	0	8	0
CDC31	S000005783	CDC31_YEAST	0	0	0	0	3	3	0	0	75	1	2	0	0	0	0	81	0
MOB2	S000001859	MOB2_YEAST	0	0	0	0	2	1	0	0	13	0	0	7	1	0	2	12	0
YSC84	S000001058	YSC84_YEAST	0	0	0	0	2	3	1	0	7	1	0	0	0	0	1	3	0
LSB1	S000003368	LSB1_YEAST	0	0	0	0	2	2	0	0	14	0	0	0	0	0	0	18	0
LSB3	S000002968	LSB3_YEAST	0	0	0	0	1	2	1	0	12	2	0	0	0	0	1	10	0
DBP5	S000005572	DBP5_YEAST	0	0	0	0	1	1	0	0	2	0	0	0	1	0	2	8	0
YDR348C	S000002756	PAL1_YEAST	0	0	0	0	5	2	0	0	5	0	1	0	0	0	1	6	0
SPT3	S000002800	SPT3_YEAST	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0
SUB2	S000002242	SUB2_YEAST	0	0	0	0	6	2	2	1	16	2	2	0	1	0	0	33	0
RNQ1	S000000533	RNQ1_YEAST	0	0	0	0	1	1	0	0	14	0	0	0	0	0	0	12	0
ERV25	S000004473	TMEDA_YEAST	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0
TMA46	S000005617	TMA46_YEAST	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0
SSD1	S000002701	SSD1_YEAST	0	0	0	0	1	0	0	0	9	1	0	1	2	0	0	4	2
ESC1	S000004832	ESC1_YEAST	0	0	0	0	13	21	0	0	18	0	3	0	1	0	0	20	0
RSP5	S000000927	RSP5_YEAST	0	0	0	0	2	3	0	0	34	0	0	1	0	0	0	22	0
TCB3	S000004537	TCB3_YEAST	0	0	0	0	2	2	0	0	2	0	0	0	1	0	0	2	0
TGL1	S000001623	TGL1_YEAST	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ICS2	S000000361	ICS2_YEAST	0	0	0	0	2	2	2	0	6	0	0	2	0	0	1	0	0
CDC14	S000001924	CDC14_YEAST	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
MRPL1	S000002523	RM01_YEAST	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1
YMR295C	S000004910	YM8V_YEAST	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	9	0
SCS2	S000000922	SCS2_YEAST	0	0	0	0	2	0	0	0	8	1	0	4	3	0	1	11	1
RRP36	S000005813	RRP36_YEAST	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	2	0
VMA5	S000001563	VATC_YEAST	0	0	0	0	2	0	0	0	4	1	0	0	0	0	0	16	0
RVS167	S000002796	RV167_YEAST	0	0	0	0	3	1	0	0	8	0	0	0	0	0	2	17	0
NET1	S000003612	NET1_YEAST	0	0	0	0	4	2	0	0	1	0	1	0	0	0	0	1	0
MFM1	S000005981	MFM1_YEAST	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STU2	S000004035	STU2_YEAST	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
MDM10	S000000008	MDM10_YEAST	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
SPC29	S000006045	SPC29_YEAST	0	0	0	0	1	0	0	0	1	0	0	7	0	0	3	0	0
CPS1	S000003708	CBPS_YEAST	0	0	0	0	3	7	1	0	5	0	0	0	0	0	0	4	0
KIN2	S000004086	KIN2_YEAST	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	2	0
YMR124W	S000004731	YM11_YEAST	0	0	0	0	4	1	0	0	3	0	0	0	0	0	0	11	0
KIN1	S000002529	KIN1_YEAST	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
NUP157	S000000907	NU157_YEAST	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0
ZPS1	S000005514	ZPS1_YEAST	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SLA1	S000000103	SLA1_YEAST	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	4	0
LEU2	S000000523	LEU3_YEAST	0	0	0	0	4	5	1	0	0	0	0	0	0	0	0	0	0
PIL1	S000003318	PIL1_YEAST	0	0	0	0	0	2	1	1	4	0	1	0	3	0	0	1	0
MTC5	S000002535	WDR59_YEAST	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
TIF6	S000006220	IF6_YEAST	0	0	0	0	0	2	0	0	3	1	0	3	2	0	2	6	1
SUA7	S000006290	TF2B_YEAST	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0
SPC25	S000000820	SPC25_YEAST	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
SEH1	S000003068	SEH1_YEAST	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
SLM1	S000001367	SLM1_YEAST	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TUB3	S000004593	TBA3_YEAST	0	0	0	0	0	1	0	2	18	0	0	0	0	0	0	27	0
TUB1	S000004550	TBA1_YEAST	0	0	0	0	0	1	0	2	28	0	0	0	0	0	0	35	0
ARX1	S000002508	ARX1_YEAST	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SCJ1	S000004827	SCJ1_YEAST	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0
ACS2	S000004143	ACS2_YEAST	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0
EDE1	S000000143	EDE1_YEAST	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
KSP1	S000001124	KSP1_YEAST	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
APA1	S000000555	APA1_YEAST	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
UFD2	S000002349	UFD2_YEAST	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
